customer_number,first_name,last_name,email,country,city,zip_code,birth_date,created_at
CUST000001,Amadou,Essomba,cust000001@exemple.cm,Cameroon,Bamenda,00237,1993-09-07,2020-08-16
CUST000002,Samuel,Essomba,cust000002@exemple.cm,Cameroon,Yaoundé,00237,1975-12-27,2021-04-02
CUST000003,Grace,Mballa,cust000003@exemple.cm,Cameroon,Yaoundé,00237,1995-05-11,2024-02-25
CUST000004,Amadou,Ngono,cust000004@exemple.cm,Cameroon,Yaoundé,00237,1991-06-28,2022-05-14
CUST000005,Clarisse,Biloa,cust000005@exemple.cm,Cameroon,Douala,00237,1974-10-23,2021-04-21
CUST000006,Kevin,Nguesso,cust000006@exemple.cm,Cameroon,Limbe,00237,1990-03-06,2021-02-11
CUST000007,Fatima,Talla,cust000007@exemple.cm,Cameroon,Ebolowa,00237,1989-06-12,2022-05-09
CUST000008,Luc,Ngono,cust000008@exemple.cm,Cameroon,Buea,00237,1977-06-24,2024-07-15
CUST000009,Joseph,Mbarga,cust000009@exemple.cm,Cameroon,Buea,00237,1996-04-26,2022-05-15
CUST000010,Joseph,Edimo,cust000010@exemple.cm,Cameroon,Yaoundé,00237,1974-08-29,2024-04-12
CUST000011,Joseph,Njoya,cust000011@exemple.cm,Cameroon,Ngaoundéré,00237,1982-01-16,2020-07-17
CUST000012,Awa,Ngono,cust000012@exemple.cm,Cameroon,Limbe,00237,1992-01-31,2021-06-25
CUST000013,Marie,Takam,cust000013@exemple.cm,Cameroon,Bertoua,00237,1985-08-11,2023-01-03
CUST000014,Pauline,Njoya,cust000014@exemple.cm,Cameroon,Bafoussam,00237,1968-07-15,2023-02-04
CUST000015,Luc,Kamga,cust000015@exemple.cm,Cameroon,Ebolowa,00237,1992-09-29,2024-12-18
CUST000016,Marie,Ngono,cust000016@exemple.cm,Cameroon,Bafoussam,00237,1973-08-17,2023-12-13
CUST000017,Pauline,Edimo,cust000017@exemple.cm,Cameroon,Garoua,00237,1975-03-23,2024-05-02
CUST000018,Esther,Mbarga,cust000018@exemple.cm,Cameroon,Maroua,00237,2003-11-14,2020-07-25
CUST000019,Joseph,Tchatchou,cust000019@exemple.cm,Cameroon,Ngaoundéré,00237,1993-07-08,2024-09-04
CUST000020,Sophie,Mbarga,cust000020@exemple.cm,Cameroon,Limbe,00237,1980-12-08,2021-03-05
CUST000021,Marie,Biloa,cust000021@exemple.cm,Cameroon,Bafoussam,00237,1995-08-31,2023-08-20
CUST000022,Kevin,Adamou,cust000022@exemple.cm,Cameroon,Buea,00237,1972-09-04,2022-12-29
CUST000023,Pauline,Takam,cust000023@exemple.cm,Cameroon,Bafoussam,00237,1985-09-26,2022-02-16
CUST000024,Fatima,Nguesso,cust000024@exemple.cm,Cameroon,Ngaoundéré,00237,1995-11-14,2023-02-14
CUST000025,Awa,Ngono,cust000025@exemple.cm,Cameroon,Garoua,00237,2002-10-23,2024-04-22
CUST000026,Awa,Kamga,cust000026@exemple.cm,Cameroon,Bertoua,00237,2001-11-12,2020-03-06
CUST000027,Fatima,Takam,cust000027@exemple.cm,Cameroon,Ebolowa,00237,1977-01-04,2020-05-15
CUST000028,Joseph,Adamou,cust000028@exemple.cm,Cameroon,Bafoussam,00237,2004-04-24,2024-01-10
CUST000029,Grace,Takam,cust000029@exemple.cm,Cameroon,Bafoussam,00237,1987-05-25,2022-03-21
CUST000030,Pauline,Tchatchou,cust000030@exemple.cm,Cameroon,Garoua,00237,1985-08-01,2020-10-19
CUST000031,Clarisse,Mbarga,cust000031@exemple.cm,Cameroon,Limbe,00237,1998-06-02,2023-02-23
CUST000032,Grace,Biloa,cust000032@exemple.cm,Cameroon,Bertoua,00237,1991-03-23,2022-05-27
CUST000033,Samuel,Mballa,cust000033@exemple.cm,Cameroon,Maroua,00237,1981-03-28,2021-03-25
CUST000034,Amadou,Njoya,cust000034@exemple.cm,Cameroon,Yaoundé,00237,1969-01-29,2024-03-27
CUST000035,Samuel,Kengne,cust000035@exemple.cm,Cameroon,Bafoussam,00237,1971-11-10,2023-07-09
CUST000036,Marie,Nana,cust000036@exemple.cm,Cameroon,Bertoua,00237,1983-12-09,2023-05-06
CUST000037,Clarisse,Mbarga,cust000037@exemple.cm,Cameroon,Kumba,00237,1991-09-25,2022-08-16
CUST000038,Sophie,Essomba,cust000038@exemple.cm,Cameroon,Yaoundé,00237,2003-08-13,2020-01-24
CUST000039,Clarisse,Kengne,cust000039@exemple.cm,Cameroon,Bamenda,00237,1995-08-01,2024-12-17
CUST000040,Joseph,Edimo,cust000040@exemple.cm,Cameroon,Bamenda,00237,1999-06-24,2023-08-05
CUST000041,Franck,Ngono,cust000041@exemple.cm,Cameroon,Limbe,00237,1984-07-03,2020-11-19
CUST000042,Pauline,Mballa,cust000042@exemple.cm,Cameroon,Buea,00237,2004-04-15,2024-01-13
CUST000043,Luc,Nguesso,cust000043@exemple.cm,Cameroon,Bamenda,00237,1987-10-10,2020-08-05
CUST000044,Clarisse,Biloa,cust000044@exemple.cm,Cameroon,Garoua,00237,2002-10-03,2023-08-01
CUST000045,Awa,Tchatchou,cust000045@exemple.cm,Cameroon,Kumba,00237,1971-11-10,2022-02-04
CUST000046,Grace,Ngono,cust000046@exemple.cm,Cameroon,Ebolowa,00237,1999-12-06,2022-12-22
CUST000047,Amadou,Edimo,cust000047@exemple.cm,Cameroon,Ngaoundéré,00237,1979-07-17,2022-09-27
CUST000048,Awa,Mbarga,cust000048@exemple.cm,Cameroon,Garoua,00237,2004-06-01,2024-08-30
CUST000049,Grace,Biloa,cust000049@exemple.cm,Cameroon,Yaoundé,00237,1967-08-08,2021-05-08
CUST000050,Franck,Njoya,cust000050@exemple.cm,Cameroon,Yaoundé,00237,1968-11-04,2024-02-07
CUST000051,Awa,Tchatchou,cust000051@exemple.cm,Cameroon,Buea,00237,1999-02-13,2022-12-26
CUST000052,Clarisse,Tchatchou,cust000052@exemple.cm,Cameroon,Bamenda,00237,1994-08-06,2022-08-31
CUST000053,Didier,Nana,cust000053@exemple.cm,Cameroon,Garoua,00237,1988-09-02,2024-11-21
CUST000054,Kevin,Essomba,cust000054@exemple.cm,Cameroon,Garoua,00237,1989-03-11,2024-03-26
CUST000055,Esther,Nguesso,cust000055@exemple.cm,Cameroon,Bafoussam,00237,1996-12-24,2021-09-30
CUST000056,Grace,Mballa,cust000056@exemple.cm,Cameroon,Maroua,00237,1981-10-02,2022-06-16
CUST000057,Fatima,Edimo,cust000057@exemple.cm,Cameroon,Ngaoundéré,00237,1970-06-06,2021-05-22
CUST000058,Clarisse,Adamou,cust000058@exemple.cm,Cameroon,Ebolowa,00237,1965-12-11,2023-04-19
CUST000059,Marie,Essomba,cust000059@exemple.cm,Cameroon,Bafoussam,00237,1974-11-18,2020-01-15
